Material,City,Country,Latitude,Longitude
Underlayments,Ankara,Turkey,39.9334, 32.8597
Screeds,Pittsburgh,USA,40.4406, -79.9959
Mortar,Rome,Italy,41.9028, 12.4964
Grout,London,UK,51.5074, -0.1278
Fixtures,Vancouver,Canada,49.2827, -123.1207
Fittings,Shanghai,China,31.2304, 121.4737
Hardware,Munich,Germany,48.1351, 11.5820
Lighting,Dubai,UAE,25.276987, 55.296249
Electrical Components,Santiago,Chile,-33.4489, -70.6693
Plumbing Components,Houston,USA,29.7604, -95.3698
HVAC Components,Ankara,Turkey,39.9334, 32.8597
Security Systems,Pittsburgh,USA,40.4406, -79.9959
Automation Systems,Rome,Italy,41.9028, 12.4964
Fire Protection Systems,London,UK,51.5074, -0.1278
Soundproofing Materials,Vancouver,Canada,49.2827, -123.1207
Decorative Materials,Shanghai,China,31.2304, 121.4737
Functional Coatings,Munich,Germany,48.1351, 11.5820
Protective Coatings,Dubai,UAE,25.276987, 55.296249
Energy Storage Systems,Santiago,Chile,-33.4489, -70.6693
Water Filtration Systems,Houston,USA,29.7604, -95.3698
Waste Management Systems,Ankara,Turkey,39.9334, 32.8597
